#### EXPORT DONNEES METEO POUR "LILLE" (LAT/LON: 50.62925/3.057256)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2019-01-01,9,7,16,8,9,8,1,89,10,1035,90,9,7,5,122,122,353,0,2,3,météo défavorable,16:53:00,08:49:00,8
2019-01-02,7,5,13,6,6,6,0.8,72,9,1041,87.25,7,2,3,122,176,266,0,2,3,météo très défavorable,16:54:00,08:49:00,5
2019-01-03,6,5,8,6,6,5,1.3,77,9.875,1041,78.875,6,2,4,353,353,176,0,2,3,météo très défavorable,16:55:00,08:49:00,6
2019-01-04,5,3,14,4,5,3,0.4,87,10,1041,83.125,5,2,1,122,119,122,0,2,3,météo très défavorable,16:57:00,08:49:00,3
2019-01-05,7,4,17,6,7,5,0.9,92,9,1038,95,7,5,3,122,122,122,0,2,3,météo très défavorable,16:58:00,08:48:00,5
2019-01-06,6,5,11,5,6,6,1.3,90,7.375,1037,98.625,6,5,3,122,266,122,0,2,3,météo très défavorable,16:59:00,08:48:00,5
2019-01-07,10,6,17,7,9,9,0.8,96,5,1036,88.875,10,8,5,143,119,266,0,2,3.2,météo défavorable,17:00:00,08:48:00,6
2019-01-08,10,7,27,7,9,7,2.5,80,8.875,1025,81.5,10,7,4,353,119,353,0,2,3.2,météo défavorable,17:02:00,08:47:00,8
2019-01-09,7,4,26,6,7,4,3.2,69,9.75,1026,52.375,7,2,2,353,353,176,0,2,5,météo très défavorable,17:03:00,08:47:00,6
2019-01-10,6,2,7,2,6,5,1.3,78,7,1029,60.125,6,3,-1,116,116,266,0,2,5,météo très défavorable,17:04:00,08:46:00,2
2019-01-11,9,4,17,6,9,7,2.9,96,6.875,1029,96.75,9,6,3,296,119,353,0,2,3.2,météo défavorable,17:06:00,08:46:00,4
2019-01-12,9,5,22,6,9,8,2.5,89,7.75,1028,86.125,9,7,3,119,266,296,0,2,3.2,météo défavorable,17:07:00,08:45:00,5
2019-01-13,10,8,29,9,10,10,6,88,6.75,1017,94,10,8,5,266,266,296,0,2,3.2,météo défavorable,17:09:00,08:45:00,9
2019-01-14,9,5,21,7,8,6,2.1,81,10,1023,70.5,9,4,3,119,122,353,0,2,3.2,météo défavorable,17:10:00,08:44:00,7
2019-01-15,9,4,17,4,9,7,0.4,87,10,1023,66.375,9,5,1,113,122,122,0,2,5.1,météo très défavorable,17:11:00,08:43:00,4
2019-01-16,7,4,22,4,6,5,1.2,83,8.875,1017,90,7,4,0,119,122,266,0,2,5.1,météo très défavorable,17:13:00,08:42:00,5
2019-01-17,6,3,24,5,5,3,3,89,9.75,1016,57,6,4,-0,353,317,116,0,2,3.3,météo très défavorable,17:15:00,08:41:00,4
2019-01-18,5,0,10,2,5,2,0,89,10,1020,60,5,0,-1,116,122,116,0,2,3.3,météo très défavorable,17:16:00,08:41:00,2
2019-01-19,4,-1,18,-1,4,1,0,83,10,1017,38.375,4,0,-5,116,116,116,0,2,8.7,météo très défavorable,17:18:00,08:40:00,-1
2019-01-20,3,-1,9,-1,3,0,0,69,10,1022,16.75,3,0,-3,113,113,113,0,2,8.7,météo très défavorable,17:19:00,08:39:00,-1
2019-01-21,3,-1,5,-0,3,0,0,61,10,1024,15,3,0,-0,113,113,113,0,2,6.9,météo très défavorable,17:21:00,08:38:00,-1
2019-01-22,1,-2,26,-1,-1,0,1.5,93,8.75,1016,70.875,1,0,-9,119,122,119,0,2,3.3,météo très défavorable,17:23:00,08:36:00,-1
2019-01-23,1,-3,15,0,0,-3,3.9,97,6.125,1006,80.25,1,0,-4,338,332,116,3.3,1,5.1,météo très défavorable,17:24:00,08:35:00,1
2019-01-24,2,-2,9,-2,2,1,0.1,99,8.75,1014,76.875,2,2,-4,323,323,323,0,1,5.1,météo très défavorable,17:26:00,08:34:00,-1
2019-01-25,5,0,16,-0,2,4,2.2,96,5.875,1016,92,5,5,-3,143,122,296,0,1,3.4,météo très défavorable,17:28:00,08:33:00,1
2019-01-26,7,4,22,5,7,7,0.3,97,10,1014,90,7,6,1,119,122,122,0,2,3.4,météo très défavorable,17:29:00,08:32:00,4
2019-01-27,8,4,30,7,5,4,7.4,89,5.875,994,98.875,8,6,1,266,302,266,0,2,3.4,météo très défavorable,17:31:00,08:30:00,8
